domain,run,phase,candidate,epochs,learning_rate,global_weight,spatial_weight,foreground_demo_selection_dice,inclusive_demo_selection_dice,best_epoch_one_based,best_iteration,exitcode,best_checkpoint_relative_path
A,A_s0,sweep,0,20,0.03,1.0,0.01,0.7475147549520761,0.871830068765787,17,1292,0,A_s0/best.pt
A,A_s1,sweep,1,20,0.01,1.0,0.01,0.6999537002050066,0.8470630321891401,19,1444,0,A_s1/best.pt
A,A_s2,sweep,2,20,0.03,0.1,0.01,0.7591552963267544,0.8777268723767963,17,1292,0,A_s2/best.pt
A,A_s3,sweep,3,20,0.01,0.1,0.01,0.6174239717736857,0.8057881256532945,15,1140,0,A_s3/best.pt
A,A_formal80,formal,2,80,0.03,0.1,0.01,0.5842726164529811,0.7872367980706132,45,3420,0,A_formal80/best.pt
B,B_s0,sweep,0,20,0.03,1.0,0.01,0.5515986991921188,0.7705905763671398,10,420,0,B_s0/best.pt
B,B_s1,sweep,1,20,0.01,1.0,0.01,0.4952747911974373,0.7404151457407327,11,462,0,B_s1/best.pt
B,B_s2,sweep,2,20,0.03,0.1,0.01,0.5094190943051526,0.7482893909770555,10,420,0,B_s2/best.pt
B,B_s3,sweep,3,20,0.01,0.1,0.01,0.47452353461110536,0.7291935073066416,11,462,0,B_s3/best.pt
B,B_formal80,formal,0,80,0.03,1.0,0.01,0.5523577062776047,0.7704937125245936,42,1764,0,B_formal80/best.pt
C,C_s0,sweep,0,20,0.03,1.0,0.01,0.5168354513450455,0.7537842518891362,12,1044,0,C_s0/best.pt
C,C_s1,sweep,1,20,0.01,1.0,0.01,0.6034336536543539,0.7948274620572906,6,522,0,C_s1/best.pt
C,C_s2,sweep,2,20,0.03,0.1,0.01,0.5803330444673607,0.7843484361189489,4,348,0,C_s2/best.pt
C,C_s3,sweep,3,20,0.01,0.1,0.01,0.4907588674390328,0.735532200857908,5,435,0,C_s3/best.pt
C,C_formal80,formal,1,80,0.01,1.0,0.01,0.6461911575995178,0.8189376727229833,71,6177,0,C_formal80/best.pt
D,D_s0,sweep,0,20,0.03,1.0,0.01,0.4593721954438891,0.7265768630493102,11,462,0,D_s0/best.pt
D,D_s1,sweep,1,20,0.01,1.0,0.01,0.4048184515282462,0.6970103347722207,11,462,0,D_s1/best.pt
D,D_s2,sweep,2,20,0.03,0.1,0.01,0.39168934948607037,0.6916509007492512,10,420,0,D_s2/best.pt
D,D_s3,sweep,3,20,0.01,0.1,0.01,0.29642204874991607,0.6429950206080657,12,504,0,D_s3/best.pt
D,D_formal80,formal,0,80,0.03,1.0,0.01,0.5370209892079258,0.7655336836576423,60,2520,0,D_formal80/best.pt
E,E_s0,sweep,0,20,0.03,1.0,0.01,0.6296809987172501,0.8092790913633612,14,2044,0,E_s0/best.pt
E,E_s1,sweep,1,20,0.01,1.0,0.01,0.6318443739405437,0.8101439178799628,17,2482,0,E_s1/best.pt
E,E_s2,sweep,2,20,0.03,0.1,0.01,0.6224317536367238,0.8051098992912914,8,1168,0,E_s2/best.pt
E,E_s3,sweep,3,20,0.01,0.1,0.01,0.4706968058292834,0.7282370044840764,10,1460,0,E_s3/best.pt
E,E_formal80,formal,1,80,0.01,1.0,0.01,0.7053657033598169,0.8488190925529553,74,10804,0,E_formal80/best.pt
F,F_s0,sweep,0,20,0.03,1.0,0.01,0.551019181071136,0.7730026573726071,18,3168,0,F_s0/best.pt
F,F_s1,sweep,1,20,0.01,1.0,0.01,0.6448172191949815,0.8209661139140441,10,1760,0,F_s1/best.pt
F,F_s2,sweep,2,20,0.03,0.1,0.01,0.5821732055516093,0.7894400318448258,14,2464,0,F_s2/best.pt
F,F_s3,sweep,3,20,0.01,0.1,0.01,0.6046326880561381,0.8002176472946518,10,1760,0,F_s3/best.pt
F,F_formal80,formal,1,80,0.01,1.0,0.01,0.6787189996941617,0.8376157723180915,51,8976,0,F_formal80/best.pt
