scenario,candidate,pce_weight,global_weight,spatial_weight,validation_foreground,validation_inclusive,selected
domain,c01,1,0.1,0.01,0.4403198081,0.6875410692,false
domain,c02,1,0.5,0.01,0.5399690938,0.7496955275,false
domain,c03,1,1,0.01,0.5475686351,0.7542256967,false
domain,c04,1,2,0.01,0.4689135543,0.7058390307,false
domain,c05,1,0.5,0.05,0.6035883279,0.7861977688,false
domain,c06,1,1,0.05,0.6022366687,0.7854982073,false
domain,c07,0.5,1,0.05,0.6261576661,0.7994290779,true
domain,c08,2,1,0.05,0.5516540678,0.7558516360,false
class,c01,1,0.1,0.01,0.4295276283,0.6128274679,false
class,c02,1,0.5,0.01,0.4132747619,0.6055031792,false
class,c03,1,1,0.01,0.4528723737,0.6322697876,false
class,c04,1,2,0.01,0.3815797496,0.5848873607,false
class,c05,1,0.5,0.05,0.4719331553,0.6443018320,true
class,c06,1,1,0.05,0.4212957189,0.6115508278,false
class,c07,0.5,1,0.05,0.4395403491,0.6238115928,false
class,c08,2,1,0.05,0.4018653589,0.5970790612,false
